plan,monthly_price_usd,included_credit_usd,usage_fraction,cost_stress_multiplier,assumed_provider_cost,assumed_payment_fee,assumed_fixed_delivery,contribution_before_excluded_costs,contribution_percent
Launch,49,20,0,1,0.00,1.77,10,37.23,76.0
Launch,49,20,0,1.5,0.00,1.77,10,37.23,76.0
Launch,49,20,0,2,0.00,1.77,10,37.23,76.0
Launch,49,20,0.5,1,6.67,1.77,10,30.56,62.4
Launch,49,20,0.5,1.5,10.00,1.77,10,27.23,55.6
Launch,49,20,0.5,2,13.33,1.77,10,23.90,48.8
Launch,49,20,1,1,13.33,1.77,10,23.90,48.8
Launch,49,20,1,1.5,20.00,1.77,10,17.23,35.2
Launch,49,20,1,2,26.67,1.77,10,10.56,21.6
Grow,149,75,0,1,0.00,4.77,25,119.23,80.0
Grow,149,75,0,1.5,0.00,4.77,25,119.23,80.0
Grow,149,75,0,2,0.00,4.77,25,119.23,80.0
Grow,149,75,0.5,1,25.00,4.77,25,94.23,63.2
Grow,149,75,0.5,1.5,37.50,4.77,25,81.73,54.9
Grow,149,75,0.5,2,50.00,4.77,25,69.23,46.5
Grow,149,75,1,1,50.00,4.77,25,69.23,46.5
Grow,149,75,1,1.5,75.00,4.77,25,44.23,29.7
Grow,149,75,1,2,100.00,4.77,25,19.23,12.9
Scale,399,200,0,1,0.00,12.27,60,326.73,81.9
Scale,399,200,0,1.5,0.00,12.27,60,326.73,81.9
Scale,399,200,0,2,0.00,12.27,60,326.73,81.9
Scale,399,200,0.5,1,66.67,12.27,60,260.06,65.2
Scale,399,200,0.5,1.5,100.00,12.27,60,226.73,56.8
Scale,399,200,0.5,2,133.33,12.27,60,193.40,48.5
Scale,399,200,1,1,133.33,12.27,60,193.40,48.5
Scale,399,200,1,1.5,200.00,12.27,60,126.73,31.8
Scale,399,200,1,2,266.67,12.27,60,60.06,15.1
